ISO_country,Cruise_ID,Latitude,Longitude,Year,Month,Day,Time,WOD_unique,depth(m),qc_flag,Temp,qc_flag,Sal,qc_flag,Oxy,qc_flag,Phos,qc_flag,dum5,qc_flag,Sil,qc_flag,dum7,qc_flag,NO3,qc_flag,pH,qc_flag,dum10,qc_flag,Chl,qc_flag,dum12,qc_flag,dum13,qc_flag,dum14,qc_flag,dum15,qc_flag,dum16,qc_flag,Alk,qc_flag,dum18,qc_flag,dum19,qc_flag,pCO2,qc_flag,DIC,qc_flag,dum22,qc_flag,dum23,qc_flag,BAC,qc_flag,dum25,qc_flag,dum26,qc_flag,dum27,qc_flag,dum28,qc_flag,dum29,qc_flag,dum30,qc_flag,dum31,qc_flag,dum32,qc_flag,Trit,qc_flag,He,qc_flag,dHE3,qc_flag,dC14,qc_flag,dC13,qc_flag,Arg,qc_flag,Neo,qc_flag,CFC11,qc_flag,CFC12,qc_flag,CFC113,qc_flag,O18,qc_flag
US,38379,-67.832,-68.883,2017, 1, 1,0.68,18232565,1.99,0,2.3138,0,,,,,-99.99,0,,,-99.99,0,,,-99.99,0,,,,,-99.99,0,,,,,,,,,,,,,,,,,,,,,,,,,,,2.007858,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
US,38378,-23.900,-103.000,2017, 1, 1,1.48,18232566,2.78,0,25.0840,0,36.4002,0,207.9,0,0.298,0,,,0.5,0,,,0,0,8.0204,0,,,,,,,,,,,,,,,2.4590,0,,,,,,,2.1506,0,,,,,,,2.8,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.6959,0,1.0672,0,,,,
US,38379,-67.743,-69.891,2017, 1, 1,4.02,18232568,2.06,0,0.4388,0,,,,,-99.99,0,,,-99.99,0,,,-99.99,0,,,,,-99.99,0,,,,,,,,,,,,,,,,,,,,,,,,,,,2.080112,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
US,38378,-26.000,-101.500,2017, 1, 1,4.17,18232567,3.48,0,23.9779,0,36.1673,0,212.0,0,0.208,0,,,0.3,0,,,0,0,8.0093,0,,,,,,,,,,,,,,,2.4412,0,,,,,,,2.1394,0,,,,,,,3.5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.7618,0,1.1018,0,,,,
US,38378,-24.500,-102.334,2017, 1, 1,9.07,18232569,2.98,0,24.3057,0,36.1635,0,210.8,0,0.232,0,,,0.4,0,,,0,0,8.0088,0,,,,,,,,,,,,,,,2.4445,0,,,,,,,2.1434,0,,,,,,,3.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.7630,0,1.1007,0,,,,
US,38378,-25.001,-101.501,2017, 1, 1,16.58,18232570,2.68,0,24.5712,0,36.2715,0,209.6,0,0.205,0,,,0.4,0,,,0,0,8.0146,0,,,,,,,,,,,,,,,2.4499,0,,,,,,,2.1441,0,,,,,,,2.7,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.7259,0,1.0870,0,,,,
US,38379,-66.382,-74.463,2017, 1, 1,18.02,18232571,2.41,0,1.2513,0,,,,,-99.99,0,,,-99.99,0,,,-99.99,0,,,,,-99.99,0,,,,,,,,,,,,,,,,,,,,,,,,,,,2.438306,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
US,38379,-66.382,-74.463,2017, 1, 1,19.92,18232572,5.31,0,1.2896,0,33.8422,0,344.4,0,1.68,0,,,37.8,0,,,23.08,0,7.7115,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.358456,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
US,38378,-25.500,-101.500,2017, 1, 1,22.50,18232573,3.08,0,24.2359,0,36.2121,0,210.9,0,0.208,0,,,0.5,0,,,0,0,8.0117,0,,,,,,,,,,,,,,,2.4308,0,,,,,,,2.1411,0,,,,,,,3.1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.7540,0,1.0974,0,,,,
DK,4638,55.452,10.567,2017, 1, 2,7.22,18956528,0.1,0,4.633,0,22.647,0,317,0,-99.99,0,,,-99.99,0,,,-99.99,0,,,,,-99.99,0,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
